time,FLOW,SALT,TEMP,OGM_don,NIT_nit,NIT_amm,PHS_frp
2013-01-30 00:00:00,3.23,0,1.29,24.2,241.97,51.32,15.62
2013-01-31 00:00:00,2.82,0,0.47,44.4,443.97,20.34,5.87
2013-02-01 00:00:00,2.79,0,0,54.82,548.18,6.61,2.94
2013-02-02 00:00:00,2.92,0,0.35,58.03,580.3,5.37,2.4
2013-02-03 00:00:00,3.06,0,0.41,60.81,608.14,4.45,2.14
2013-02-04 00:00:00,3.09,0,0.61,61.67,616.7,3.97,2.05
2013-02-05 00:00:00,3.09,0,0.6,62.46,624.55,3.57,1.96
2013-02-06 00:00:00,2.97,0,0.76,63.24,632.41,3.22,1.88
2013-02-07 00:00:00,3.09,0,1.3,64.03,640.26,2.9,1.79
2013-02-08 00:00:00,2.82,0,1.1,64.81,648.11,2.61,1.71
2013-02-09 00:00:00,2.8,0,0.85,65.67,656.67,2.36,1.65
2013-02-10 00:00:00,3.31,0,1.23,57.67,576.73,7.64,3.31
2013-02-11 00:00:00,3.2,0,1.77,40.97,409.71,23.77,7.54
2013-02-12 00:00:00,2.94,0,1.21,52.68,526.77,9.71,4.14
2013-02-13 00:00:00,3.06,0,1.21,58.17,581.73,6.3,2.87
2013-02-14 00:00:00,3.06,0,1.83,59.46,594.58,6.03,2.06
2013-02-15 00:00:00,2.97,0,0.96,60.46,604.57,5.77,1.8
2013-02-16 00:00:00,3.03,0,0.52,61.38,613.85,5.52,1.62
2013-02-17 00:00:00,3.06,0,0.4,62.46,624.55,5.29,1.47
2013-02-18 00:00:00,3.14,0,1.14,63.45,634.55,5.06,1.32
2013-02-19 00:00:00,3.23,0,0.65,64.45,644.54,4.84,1.19
2013-02-20 00:00:00,3,0,0.12,65.52,655.25,4.63,1.07
2013-02-21 00:00:00,3.03,0,0.3,66.52,665.24,4.45,0.97
2013-02-22 00:00:00,3.14,0,1.03,66.74,667.38,4.43,0.96
2013-02-23 00:00:00,3.03,0,0.98,66.81,668.09,4.43,0.96
2013-02-24 00:00:00,2.97,0,0.95,66.88,668.81,4.43,0.96
2013-02-25 00:00:00,3.03,0,1.14,66.95,669.52,4.43,0.96
2013-02-26 00:00:00,3.03,0,1.19,67.02,670.24,4.43,0.96
2013-02-27 00:00:00,3.17,0,1.32,67.09,670.95,4.43,0.96
2013-02-28 00:00:00,2.97,0,1.35,67.17,671.66,4.43,0.96
2013-03-01 00:00:00,2.92,0,1.18,67.24,672.38,4.43,0.96
2013-03-02 00:00:00,2.97,0,1.01,67.31,673.09,4.43,0.96
2013-03-03 00:00:00,2.83,0,0.79,67.38,673.8,4.43,0.96
2013-03-04 00:00:00,2.71,0,0.92,67.45,674.52,4.43,0.96
2013-03-05 00:00:00,2.79,0,1.24,67.52,675.23,4.43,0.96
2013-03-06 00:00:00,2.94,0,1.11,67.59,675.95,4.43,0.96
2013-03-07 00:00:00,2.66,0,1.01,67.67,676.66,4.43,0.96
2013-03-08 00:00:00,2.53,0,1.03,67.74,677.37,4.43,0.96
2013-03-09 00:00:00,2.54,0,1.28,64.6,645.97,5.07,1.14
2013-03-10 00:00:00,2.97,0,3.78,22.48,224.84,72.81,8.33
2013-03-11 00:00:00,4.11,0,2.07,6.07,60.74,134.19,13.33
2013-03-12 00:00:00,5.61,0,1.24,10.92,109.21,107.07,10.77
2013-03-13 00:00:00,6.54,0,1.05,19.34,193.43,99.93,9.87
2013-03-14 00:00:00,6.88,0,0.95,24.91,249.11,73.52,7.61
2013-03-15 00:00:00,7.48,0,1.24,31.62,316.2,52.53,5.81
2013-03-16 00:00:00,8.07,0,1.29,40.97,409.71,36.69,4.37
2013-03-17 00:00:00,8.07,0,0.97,49.54,495.36,25.62,3.32
2013-03-18 00:00:00,8.07,0,1.08,51.61,516.06,17.99,2.59
2013-03-19 00:00:00,7.84,0,0.83,53.53,535.33,12.63,2.02
2013-03-20 00:00:00,7.76,0,0.43,55.46,554.6,8.92,1.56
2013-03-21 00:00:00,7.79,0,0.47,57.46,574.59,6.43,1.25
2013-03-22 00:00:00,7.79,0,0.62,59.39,593.86,5.58,1.18
2013-03-23 00:00:00,7.82,0,0.95,61.31,613.13,5.02,1.15
2013-03-24 00:00:00,7.9,0,1.23,63.31,633.12,4.5,1.12
2013-03-25 00:00:00,7.67,0,1.28,65.31,653.1,4.05,1.09
2013-03-26 00:00:00,7.62,0,1.37,56.1,561.03,16.85,3.52
2013-03-27 00:00:00,7.59,0,2.11,16.77,167.74,65.31,16.38
2013-03-28 00:00:00,7.65,0,1.47,11.99,119.91,114.92,19.56
2013-03-29 00:00:00,7.67,0,4.04,8.21,82.08,86.37,16.99
2013-03-30 00:00:00,7.73,0,6.4,11.21,112.06,67.17,12.86
2013-03-31 00:00:00,7.79,0,7.01,11.56,115.63,53.25,10.06
2013-04-01 00:00:00,7.87,0,1.35,22.91,229.12,30.41,6.26
2013-04-02 00:00:00,7.99,0,1.3,36.4,364.03,14.56,4.31
2013-04-03 00:00:00,8.18,0,1.3,39.47,394.72,9.78,3.53
2013-04-04 00:00:00,8.55,0,4.68,41.83,418.27,8.42,2.9
2013-04-05 00:00:00,9.54,0,4.25,44.25,442.54,7.21,2.4
2013-04-06 00:00:00,9.6,0,8.62,46.04,460.39,6.09,2.24
2013-04-07 00:00:00,9.63,0,10.89,47.61,476.09,5.1,2.18
2013-04-08 00:00:00,10.19,0,10.59,49.32,493.22,4.27,2.14
2013-04-09 00:00:00,10.87,0,9.53,34.05,340.47,11.78,6.22
2013-04-10 00:00:00,11.07,0,5.18,35.12,351.18,18.84,6.11
2013-04-11 00:00:00,10.73,0,3.4,40.26,402.57,12.85,4.37
2013-04-12 00:00:00,10.59,0,4,45.11,451.11,8.78,3.11
2013-04-13 00:00:00,10.36,0,3.18,51.61,516.06,5.33,2.15
2013-04-14 00:00:00,10.62,0,5.39,55.1,551.04,4.63,1.93
2013-04-15 00:00:00,10.96,0,12.05,57.1,571.02,4.24,1.79
2013-04-16 00:00:00,10.7,0,6.72,57.1,571.02,4.15,1.73
2013-04-17 00:00:00,11.21,0,7.02,44.75,447.54,4.08,2.87
2013-04-18 00:00:00,11.19,0,10.17,29.91,299.07,10.49,5.49
2013-04-19 00:00:00,10.85,0,5.43,41.47,414.7,4.67,2.68
2013-04-20 00:00:00,10.68,0,2.23,46.54,465.38,3.5,2.23
2013-04-21 00:00:00,10.42,0,3.9,49.82,498.22,2.75,1.93
2013-04-22 00:00:00,10.48,0,10.49,50.04,500.36,2.31,1.73
2013-04-23 00:00:00,10.39,0,10.88,50.11,501.07,1.94,1.56
2013-04-24 00:00:00,10.28,0,6.44,50.25,502.5,1.63,1.41
2013-04-25 00:00:00,10.34,0,7.47,50.32,503.21,1.38,1.3
2013-04-26 00:00:00,10.25,0,8.86,50.39,503.93,1.25,1.29
2013-04-27 00:00:00,10.31,0,13.76,50.46,504.64,1.14,1.28
2013-04-28 00:00:00,10.02,0,15.46,50.54,505.35,1.04,1.28
2013-04-29 00:00:00,9.03,0,16.97,50.61,506.07,0.95,1.27
2013-04-30 00:00:00,10,0,22.07,50.68,506.78,0.86,1.26
2013-05-01 00:00:00,10.42,0,20.7,50.75,507.49,0.79,1.26
2013-05-02 00:00:00,10.51,0,12.95,50.82,508.21,0.86,1.25
2013-05-03 00:00:00,10.62,0,7.7,50.89,508.92,3.24,1.25
2013-05-04 00:00:00,10.25,0,16.5,50.96,509.64,2.5,1.24
2013-05-05 00:00:00,10.22,0,17.79,51.11,511.06,1.81,1.24
2013-05-06 00:00:00,10.19,0,17.58,51.18,511.78,1.43,1.23
2013-05-07 00:00:00,10.02,0,19.58,51.25,512.49,1.14,1.23
2013-05-08 00:00:00,9.12,0,20.83,51.32,513.2,0.91,1.22
2013-05-09 00:00:00,8.16,0,20.47,47.04,470.38,0.84,1.41
2013-05-10 00:00:00,8.41,0,13.96,32.12,321.2,4.88,3.23
2013-05-11 00:00:00,8.1,0,10.6,41.97,419.7,6.21,2.62
2013-05-12 00:00:00,8.07,0,6.32,47.39,473.95,4.5,1.8
2013-05-13 00:00:00,7.93,0,8.9,49.04,490.36,3.42,1.64
2013-05-14 00:00:00,8.01,0,17.85,49.54,495.36,2.63,1.61
2013-05-15 00:00:00,7.9,0,22.68,50.11,501.07,2.03,1.59
2013-05-16 00:00:00,7.56,0,20.65,50.61,506.07,1.56,1.56
2013-05-17 00:00:00,6.51,0,15.48,48.75,487.51,2.96,1.97
2013-05-18 00:00:00,6.48,0,19.87,49.18,491.79,2.4,1.97
2013-05-19 00:00:00,6.31,0,23.63,51.04,510.35,1.61,1.9
2013-05-20 00:00:00,6.54,0,25.1,49.82,498.22,3.29,2.03
2013-05-21 00:00:00,6.06,0,23.44,50.89,508.92,2.25,1.79
2013-05-22 00:00:00,5.95,0,19.84,50.54,505.35,2.43,1.79
2013-05-23 00:00:00,6.31,0,15.23,50.04,500.36,3.11,1.9
2013-05-24 00:00:00,6.29,0,10.77,50.54,505.35,2.13,1.36
2013-05-25 00:00:00,6.31,0,12.24,50.75,507.49,1.71,1.3
2013-05-26 00:00:00,6.29,0,13.4,51.04,510.35,1.56,1.31
2013-05-27 00:00:00,6.09,0,15.4,51.32,513.2,1.48,1.34
2013-05-28 00:00:00,6.63,0,18.33,50.18,501.78,2.91,1.79
2013-05-29 00:00:00,6.51,0,24.46,50.32,503.21,2.36,1.49
2013-05-30 00:00:00,6.51,0,24.94,49.18,491.79,3.73,2.38
2013-05-31 00:00:00,6.4,0,24.27,49.61,496.07,3.99,2.32
2013-06-01 00:00:00,6.26,0,23.21,50.11,501.07,3.45,1.94
2013-06-02 00:00:00,6.17,0,18.04,50.18,501.78,3.18,1.87
2013-06-03 00:00:00,6.23,0,15.8,50.32,503.21,2.98,1.84
2013-06-04 00:00:00,6.06,0,15.36,50.39,503.93,2.93,1.82
2013-06-05 00:00:00,6.12,0,14.74,50.46,504.64,2.88,1.8
2013-06-06 00:00:00,6.12,0,14.57,50.54,505.35,2.82,1.77
2013-06-07 00:00:00,6.14,0,15.89,50.68,506.78,2.77,1.76
2013-06-08 00:00:00,6.2,0,17.74,50.75,507.49,2.72,1.74
2013-06-09 00:00:00,6.17,0,20.73,50.82,508.21,2.67,1.73
2013-06-10 00:00:00,5.89,0,22.87,50.96,509.64,2.62,1.7
2013-06-11 00:00:00,5.95,0,24.25,51.04,510.35,2.58,1.68
2013-06-12 00:00:00,6.43,0,25.13,52.89,528.91,26.91,7.04
2013-06-13 00:00:00,6.29,0,22.99,55.89,558.89,38.62,10.71
2013-06-14 00:00:00,6.34,0,20.45,51.39,513.92,3.92,2.26
2013-06-15 00:00:00,6.14,0,22.6,51.39,513.92,5.14,2.17
2013-06-16 00:00:00,6.4,0,24.46,51.39,513.92,4.9,2.09
2013-06-17 00:00:00,6.23,0,23.45,51.39,513.92,3.32,2.02
2013-06-18 00:00:00,6.4,0,20.99,51.39,513.92,3.1,1.94
2013-06-19 00:00:00,6.37,0,18.53,51.39,513.92,2.96,1.88
2013-06-20 00:00:00,6.4,0,22.37,51.39,513.92,2.82,1.82
2013-06-21 00:00:00,6.57,0,24.2,51.39,513.92,4.05,1.74
2013-06-22 00:00:00,6.43,0,25.76,47.25,472.52,8.49,4.08
2013-06-23 00:00:00,6.2,0,26.48,19.77,197.72,21.84,13.77
2013-06-24 00:00:00,5.86,0,25.49,30.12,301.21,12.63,6.46
2013-06-25 00:00:00,6.68,0,25.14,24.63,246.25,11.56,9.15
2013-06-26 00:00:00,7.08,0,25.66,19.49,194.86,10.78,10.97
2013-06-27 00:00:00,6.74,0,26.33,12.92,129.19,8.28,6.4
2013-06-28 00:00:00,6.94,0,23.56,11.28,112.78,7.08,5
2013-06-29 00:00:00,7.16,0,20.98,23.7,236.97,7.01,4.84
2013-06-30 00:00:00,7.53,0,21.09,39.69,396.86,5.59,3.61
2013-07-01 00:00:00,7.84,0,20.68,43.9,438.97,4.47,2.59
2013-07-02 00:00:00,7.84,0,20.22,47.97,479.66,3.7,2.17
2013-07-03 00:00:00,7.93,0,19.57,50.11,501.07,3.2,1.88
2013-07-04 00:00:00,7.87,0,22.71,50.68,506.78,2.77,1.73
2013-07-05 00:00:00,7.93,0,23.52,51.32,513.2,2.34,1.7
2013-07-06 00:00:00,7.93,0,24.08,51.89,518.92,1.91,1.67
2013-07-07 00:00:00,8.47,0,25.11,52.53,525.34,1.57,1.64
2013-07-08 00:00:00,8.81,0,25.94,53.18,531.76,1.28,1.61
2013-07-09 00:00:00,8.81,0,26.77,53.18,531.76,2.79,2.84
2013-07-10 00:00:00,8.66,0,25.52,54.32,543.18,2.56,2.58
2013-07-11 00:00:00,8.64,0,22.56,54.32,543.18,1.69,1.67
2013-07-12 00:00:00,8.64,0,22.87,54.32,543.18,1.43,1.47
2013-07-13 00:00:00,8.58,0,22.85,54.32,543.18,1.33,1.46
2013-07-14 00:00:00,8.69,0,24.16,54.32,543.18,1.23,1.45
2013-07-15 00:00:00,9.17,0,25.92,54.32,543.18,1.15,1.44
2013-07-16 00:00:00,9.06,0,26.77,54.32,543.18,1.08,1.43
2013-07-17 00:00:00,8.98,0,27.56,54.32,543.18,1.07,1.42
2013-07-18 00:00:00,8.83,0,27.28,54.32,543.18,1.07,1.42
2013-07-19 00:00:00,9.6,0,27.35,54.32,543.18,1.07,1.41
2013-07-20 00:00:00,9.68,0,24.83,54.32,543.18,1.07,1.4
2013-07-21 00:00:00,10.48,0,24.13,51.46,514.63,1.83,2.5
2013-07-22 00:00:00,9.91,0,25.07,49.04,490.36,3.76,2.24
2013-07-23 00:00:00,9.88,0,24.08,50.68,506.78,2.89,1.48
2013-07-24 00:00:00,9.83,0,19.51,51.39,513.92,2.77,1.39
2013-07-25 00:00:00,9.83,0,21.85,51.46,514.63,2.7,1.32
2013-07-26 00:00:00,9.83,0,22.99,51.53,515.35,2.63,1.25
2013-07-27 00:00:00,9.83,0,16.98,51.61,516.06,2.56,1.19
2013-07-28 00:00:00,9.74,0,16.29,51.68,516.77,2.49,1.14
2013-07-29 00:00:00,9.71,0,21.57,51.68,516.77,2.43,1.12
2013-07-30 00:00:00,9.71,0,20.22,51.75,517.49,2.36,1.09
2013-07-31 00:00:00,9.57,0,23.88,51.82,518.2,2.31,1.07
2013-08-01 00:00:00,8.61,0,23.57,51.89,518.92,2.24,1.05
2013-08-02 00:00:00,6.68,0,24.42,51.89,518.92,2.18,1.02
2013-08-03 00:00:00,5.52,0,23.1,51.96,519.63,2.13,1
2013-08-04 00:00:00,5.47,0,22.41,52.03,520.34,2.07,0.98
2013-08-05 00:00:00,5.41,0,23.58,52.11,521.06,2.02,0.96
2013-08-06 00:00:00,5.41,0,25.84,52.18,521.77,1.97,0.94
2013-08-07 00:00:00,5.35,0,26.59,52.18,521.77,1.91,0.91
2013-08-08 00:00:00,5.07,0,23.61,52.25,522.48,1.86,0.89
2013-08-09 00:00:00,4.36,0,24.92,52.32,523.2,1.81,0.88
2013-08-10 00:00:00,3.94,0,23.29,52.39,523.91,1.77,0.86
2013-08-11 00:00:00,3.11,0,20.6,52.46,524.63,1.73,0.84
2013-08-12 00:00:00,2.29,0,23.34,52.46,524.63,1.68,0.82
2013-08-13 00:00:00,2.15,0,21.07,52.53,525.34,1.64,0.81
2013-08-14 00:00:00,2.05,0,19.58,52.53,525.34,1.64,0.8
2013-08-15 00:00:00,1.88,0,21.93,52.53,525.34,1.64,0.8
2013-08-16 00:00:00,1.25,0,24.12,52.53,525.34,1.64,0.8
2013-08-17 00:00:00,1.09,0,24.6,52.53,525.34,1.64,0.8
2013-08-18 00:00:00,1.16,0,24.14,52.53,525.34,1.64,0.8
