time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2013-01-30 00:00:00,0,327.83,3.61,95.44,2.51,0.04,0
2013-01-30 01:00:00,0,327.83,2.7,95.42,3.59,0.03,0
2013-01-30 02:00:00,0,327.83,1.79,95.01,4.7,0.02,0
2013-01-30 03:00:00,0,319.75,0.88,94.17,5.82,0.02,0
2013-01-30 04:00:00,0,319.75,0.63,94.25,5.9,0.03,0
2013-01-30 05:00:00,0,319.75,0.38,94.31,6.01,0.02,0
2013-01-30 06:00:00,0,309.18,0.13,94.35,6.14,0.03,0
2013-01-30 07:00:00,0,309.18,-0.29,94.36,6.42,0.02,0
2013-01-30 08:00:00,0,309.18,-0.7,94.23,6.69,0.01,0
2013-01-30 09:00:00,0,300.21,-1.11,94.03,6.97,0,0
2013-01-30 10:00:00,0,300.21,-1.36,93.77,7.31,0.02,0
2013-01-30 11:00:00,0,300.21,-1.6,93.41,7.66,0.01,0
2013-01-30 12:00:00,0,299.22,-1.84,93.01,8,0,0
2013-01-30 13:00:00,0,299.22,-1.99,92.44,7.85,0.01,0
2013-01-30 14:00:00,25.34,299.22,-2.13,91.78,7.7,0.01,0
2013-01-30 15:00:00,66.4,291.48,-2.28,91.17,7.55,0.05,0
2013-01-30 16:00:00,96.43,291.48,-2.43,90.29,7.48,0.05,0
2013-01-30 17:00:00,121.9,291.48,-2.58,89.38,7.44,0.06,0
2013-01-30 18:00:00,150.95,287.43,-2.73,88.44,7.4,0.02,0
2013-01-30 19:00:00,140.8,287.42,-3.12,87.72,7.57,0.01,0
2013-01-30 20:00:00,123.08,287.42,-3.5,86.81,7.87,0.01,0
2013-01-30 21:00:00,121.27,267.95,-3.88,85.79,8.27,0,0
2013-01-30 22:00:00,65.93,267.95,-4.33,84.53,8.12,0.01,0
2013-01-30 23:00:00,0.41,267.94,-4.78,83.08,8.01,0,0
2013-01-31 00:00:00,0,269.68,-5.23,81.43,7.95,0,0
2013-01-31 01:00:00,0,269.68,-6.01,80.95,8.62,0,0
2013-01-31 02:00:00,0,269.67,-6.8,80.19,9.28,0,0
2013-01-31 03:00:00,0,260.19,-7.59,79.05,9.97,0,0
2013-01-31 04:00:00,0,260.19,-8.13,79.3,9.31,0,0
2013-01-31 05:00:00,0,260.19,-8.66,79.36,8.67,0,0
2013-01-31 06:00:00,0,219.35,-9.2,79.36,8.04,0,0
2013-01-31 07:00:00,0,219.35,-9.52,79.39,7.73,0,0
2013-01-31 08:00:00,0,219.35,-9.85,79.44,7.44,0,0
2013-01-31 09:00:00,0,237.99,-10.17,79.37,7.16,0,0
2013-01-31 10:00:00,0,237.99,-10.59,79.3,7.13,0,0
2013-01-31 11:00:00,0,237.99,-11.01,79.13,7.1,0,0
2013-01-31 12:00:00,0,249.16,-11.43,78.86,7.06,0,0
2013-01-31 13:00:00,0,249.16,-11.41,77.84,7.25,0,0
2013-01-31 14:00:00,53.07,249.16,-11.39,76.82,7.44,0,0
2013-01-31 15:00:00,153.31,244.57,-11.37,75.8,7.64,0,0
2013-01-31 16:00:00,221.92,244.57,-11.26,74.81,7.81,0,0
2013-01-31 17:00:00,280.24,244.57,-11.15,73.83,8,0,0
2013-01-31 18:00:00,284.29,239.01,-11.04,72.87,8.21,0,0
2013-01-31 19:00:00,265.32,239.01,-11.26,72.01,8.13,0,0
2013-01-31 20:00:00,232.26,239.01,-11.47,71.04,8.07,0,0
2013-01-31 21:00:00,131.71,234.9,-11.69,70.08,8.01,0,0
2013-01-31 22:00:00,72.39,234.9,-12.31,70.86,8.11,0.01,0
2013-01-31 23:00:00,2.13,234.9,-12.93,71.57,8.21,0,0
2013-02-01 00:00:00,0,238.51,-13.55,72.16,8.32,0,0
2013-02-01 01:00:00,0,238.51,-13.79,72.46,8.32,0,0
2013-02-01 02:00:00,0,238.51,-14.02,72.69,8.33,0,0
2013-02-01 03:00:00,0,235.15,-14.25,72.91,8.33,0,0
2013-02-01 04:00:00,0,235.15,-14.37,72.76,7.82,0,0
2013-02-01 05:00:00,0,235.15,-14.48,72.53,7.3,0,0
2013-02-01 06:00:00,0,210.77,-14.59,72.3,6.78,0,0
2013-02-01 07:00:00,0,210.76,-14.97,73.36,6.5,0,0
2013-02-01 08:00:00,0,210.76,-15.36,74.49,6.23,0,0
2013-02-01 09:00:00,0,178.15,-15.74,75.56,5.97,0,0
2013-02-01 10:00:00,0,178.15,-16.19,76.82,5.66,0,0
2013-02-01 11:00:00,0,178.15,-16.65,78.15,5.37,0,0
2013-02-01 12:00:00,0,177.77,-17.11,79.47,5.11,0,0
2013-02-01 13:00:00,0,177.77,-17.14,78.4,5.31,0,0
2013-02-01 14:00:00,85.81,177.77,-17.17,77.33,5.51,0,0
2013-02-01 15:00:00,237.56,171.38,-17.2,76.24,5.71,0,0
2013-02-01 16:00:00,349.96,171.38,-16.45,75.16,5.33,0,0
2013-02-01 17:00:00,435.98,171.38,-15.71,74.03,5.02,0,0
2013-02-01 18:00:00,506.83,158.58,-14.96,72.73,4.82,0,0
2013-02-01 19:00:00,461.59,158.58,-14.54,72.69,5.03,0,0
2013-02-01 20:00:00,386.35,158.58,-14.11,72.51,5.27,0,0
2013-02-01 21:00:00,258.24,162.68,-13.69,72.32,5.51,0,0
2013-02-01 22:00:00,143.44,162.68,-14.07,75.02,5.11,0,0
2013-02-01 23:00:00,7.4,162.68,-14.45,77.82,4.82,0,0
2013-02-02 00:00:00,0,250.59,-14.83,80.73,4.64,0,0
2013-02-02 01:00:00,0,250.59,-14.45,81.28,4.73,0,0
2013-02-02 02:00:00,0,250.59,-14.07,81.72,4.83,0,0
2013-02-02 03:00:00,0,255.23,-13.7,82.14,4.96,0.01,0
2013-02-02 04:00:00,0,255.23,-13.32,84.05,4.45,0.01,0
2013-02-02 05:00:00,0,255.23,-12.95,85.84,4.01,0.01,0
2013-02-02 06:00:00,0,257.64,-12.58,87.45,3.66,0.01,0
2013-02-02 07:00:00,0,257.64,-12.05,88.04,3.61,0.01,0
2013-02-02 08:00:00,0,257.64,-11.53,88.5,3.57,0.01,0
2013-02-02 09:00:00,0,263.17,-11,88.72,3.54,0,0
2013-02-02 10:00:00,0,263.17,-10.73,89.44,2.95,0,0
2013-02-02 11:00:00,0,263.17,-10.45,90.02,2.52,0,0
2013-02-02 12:00:00,0,260.31,-10.17,90.53,2.34,0,0
2013-02-02 13:00:00,0,260.31,-10.12,87.91,2.38,0,0
2013-02-02 14:00:00,71.25,260.31,-10.08,85.36,3.76,0,0
2013-02-02 15:00:00,195.49,252.62,-10.03,82.76,5.56,0,0
2013-02-02 16:00:00,287.02,252.62,-9.95,79.86,5,0,0
2013-02-02 17:00:00,357.14,252.62,-9.87,77,4.43,0,0
2013-02-02 18:00:00,488.01,196.3,-9.79,74.16,3.86,0,0
2013-02-02 19:00:00,444.67,196.3,-9.76,72.86,3.8,0,0
2013-02-02 20:00:00,372.7,196.3,-9.72,71.51,3.78,0,0
2013-02-02 21:00:00,259.74,196.97,-9.69,70.22,3.81,0,0
2013-02-02 22:00:00,145.74,196.97,-10.52,73.93,3.37,0,0
2013-02-02 23:00:00,10.64,196.97,-11.36,77.91,3.04,0,0
2013-02-03 00:00:00,0,218.15,-12.19,82.06,2.84,0,0
2013-02-03 01:00:00,0,218.15,-12.26,81.9,2.36,0,0
2013-02-03 02:00:00,0,218.15,-12.34,81.81,1.88,0,0
2013-02-03 03:00:00,0,240.75,-12.41,81.64,1.41,0,0
2013-02-03 04:00:00,0,240.75,-12.25,82.7,1.33,0,0
2013-02-03 05:00:00,0,240.75,-12.1,83.79,1.47,0,0
2013-02-03 06:00:00,0,234.39,-11.95,84.83,1.79,0,0
2013-02-03 07:00:00,0,234.39,-12.01,86.7,1.78,0.01,0
2013-02-03 08:00:00,0,234.39,-12.07,88.58,1.79,0,0
2013-02-03 09:00:00,0,245.1,-12.13,90.48,1.8,0,0
2013-02-03 10:00:00,0,245.1,-11.76,90.63,2.23,0,0
2013-02-03 11:00:00,0,245.1,-11.4,90.78,2.68,0,0
2013-02-03 12:00:00,0,260.17,-11.04,90.86,3.18,0,0
2013-02-03 13:00:00,0,260.17,-10.53,88.14,4.08,0,0
2013-02-03 14:00:00,65.35,260.17,-10.02,85.5,5.28,0,0
2013-02-03 15:00:00,182.44,247,-9.51,82.95,6.62,0,0
2013-02-03 16:00:00,266.95,247,-9.31,80.54,6.9,0,0
2013-02-03 17:00:00,331.78,247,-9.11,78.18,7.19,0,0
2013-02-03 18:00:00,484.84,200.92,-8.91,75.87,7.49,0,0
2013-02-03 19:00:00,441.99,200.92,-8.81,75.16,6.95,0,0
2013-02-03 20:00:00,370.96,200.92,-8.7,74.41,6.46,0,0
2013-02-03 21:00:00,257.55,196.65,-8.6,73.72,6.01,0,0
2013-02-03 22:00:00,145.95,196.65,-9.46,77.61,5.03,0,0
2013-02-03 23:00:00,13.64,196.65,-10.32,81.73,4.05,0,0
2013-02-04 00:00:00,0,215.19,-11.19,86.17,3.08,0,0
2013-02-04 01:00:00,0,215.19,-10.68,86.29,2.75,0,0
2013-02-04 02:00:00,0,215.19,-10.18,86.34,2.44,0,0
2013-02-04 03:00:00,0,255.77,-9.68,86.27,2.16,0,0
2013-02-04 04:00:00,0,255.77,-9.52,88.54,1.62,0.01,0
2013-02-04 05:00:00,0,255.77,-9.36,90.75,1.27,0.01,0
2013-02-04 06:00:00,0,264.77,-9.2,92.88,1.3,0.01,0
2013-02-04 07:00:00,0,264.77,-9.12,92.92,0.65,0.01,0
2013-02-04 08:00:00,0,264.77,-9.05,93.02,0.83,0.01,0
2013-02-04 09:00:00,0,270.06,-8.97,93.05,1.57,0.02,0
2013-02-04 10:00:00,0,270.06,-8.95,92.01,1.61,0.02,0
2013-02-04 11:00:00,0,270.06,-8.94,91.05,1.64,0.01,0
2013-02-04 12:00:00,0,274.12,-8.92,90.02,1.68,0,0
2013-02-04 13:00:00,0,274.12,-8.88,89.35,2.27,0,0
2013-02-04 14:00:00,39.33,274.12,-8.83,88.62,2.91,0,0
2013-02-04 15:00:00,168.45,261.68,-8.78,87.89,3.56,0,0
2013-02-04 16:00:00,245.63,261.69,-8.07,84.82,3.43,0,0
2013-02-04 17:00:00,304.9,261.69,-7.35,81.8,3.39,0,0
2013-02-04 18:00:00,508.77,196.9,-6.63,78.88,3.48,0,0
2013-02-04 19:00:00,464.01,196.9,-6.48,78.05,3.63,0,0
2013-02-04 20:00:00,389.97,196.9,-6.33,77.24,3.93,0,0
2013-02-04 21:00:00,268.58,182.79,-6.18,76.43,4.32,0,0
2013-02-04 22:00:00,153.66,182.79,-7.45,79.66,3.89,0,0
2013-02-04 23:00:00,17.39,182.79,-8.72,82.84,3.48,0,0
2013-02-05 00:00:00,0,181.33,-9.98,85.83,3.06,0,0
