time,FLOW,SALT,TEMP,OGM_don,NIT_nit,NIT_amm,PHS_frp
2011-09-01 00:00:00,1.98,0,18.8,31.06,7.77,7.77,2.24
2011-09-02 00:00:00,1.98,0,17.2,15.76,3.94,3.94,1.76
2011-09-03 00:00:00,1.98,0,18.1,14.67,3.67,3.67,1.4
2011-09-04 00:00:00,1.98,0,23.3,16.98,4.24,4.24,1.32
2011-09-05 00:00:00,1.98,0,23.1,40.14,10.04,10.04,2.36
2011-09-06 00:00:00,12.25,0,17.5,56.74,14.19,14.19,3.2
2011-09-07 00:00:00,2,0,14.7,18,4.5,4.5,1.44
2011-09-08 00:00:00,17.16,0,13,26.16,6.54,6.54,1.68
2011-09-09 00:00:00,2.02,0,17.4,24.11,6.03,6.03,1.56
2011-09-10 00:00:00,2,0,16.8,18.64,4.66,4.66,1.72
2011-09-11 00:00:00,2,0,15.5,30.09,7.52,7.52,2.16
2011-09-12 00:00:00,2,0,16.4,32.15,8.04,8.04,1.8
2011-09-13 00:00:00,1.98,0,20.3,16.78,4.19,4.19,1.92
2011-09-14 00:00:00,1.98,0,20.1,23.9,5.97,5.97,2.24
2011-09-15 00:00:00,1.98,0,19.9,27.15,6.79,6.79,1.72
2011-09-16 00:00:00,1.96,0,10.6,31.27,7.82,7.82,1.84
2011-09-17 00:00:00,1.96,0,7.7,26.4,6.6,6.6,2.32
2011-09-18 00:00:00,1.96,0,11.5,26.46,6.62,6.62,2.84
2011-09-19 00:00:00,1.96,0,11.4,14.18,3.55,3.55,1.8
2011-09-20 00:00:00,1.95,0,11.7,34.51,8.63,8.63,1.96
2011-09-21 00:00:00,1.95,0,15.1,39.64,9.91,9.91,2.12
2011-09-22 00:00:00,1.95,0,17.9,33.77,8.44,8.44,2
2011-09-23 00:00:00,1.95,0,17.7,11.4,2.85,2.85,1.36
2011-09-24 00:00:00,1.95,0,19.7,26.24,6.56,6.56,1.64
2011-09-25 00:00:00,1.95,0,20.5,40.2,10.05,10.05,2.24
2011-09-26 00:00:00,1.95,0,19.3,39.48,9.87,9.87,2.32
2011-09-27 00:00:00,1.95,0,19.5,43.74,10.94,10.94,2.08
2011-09-28 00:00:00,1.95,0,18.2,26.37,6.59,6.59,1.88
2011-09-29 00:00:00,1.95,0,16.6,31.84,7.96,7.96,2.28
2011-09-30 00:00:00,16.77,0,14.4,41.29,10.32,10.32,2.64
2011-10-01 00:00:00,1.96,0,16.5,23.85,5.96,5.96,1.72
2011-10-02 00:00:00,18.84,0,11.1,31.87,7.97,7.97,1.92
2011-10-03 00:00:00,1.98,0,11.3,31.88,7.97,7.97,2.12
2011-10-04 00:00:00,1.98,0,12.9,18.68,4.67,4.67,1.92
2011-10-05 00:00:00,1.98,0,12,32.73,8.18,8.18,2
2011-10-06 00:00:00,1.98,0,7.4,7.12,1.78,1.78,1.72
2011-10-07 00:00:00,1.96,0,6.7,22.35,5.59,5.59,1.88
2011-10-08 00:00:00,1.96,0,11.8,18.8,4.7,4.7,2.04
2011-10-09 00:00:00,1.96,0,16.5,30.08,7.52,7.52,1.8
2011-10-10 00:00:00,1.96,0,17,29.96,7.49,7.49,2.08
2011-10-11 00:00:00,1.95,0,14.9,33.36,8.34,8.34,2.2
2011-10-12 00:00:00,1.95,0,11.5,25.29,6.32,6.32,1.56
2011-10-13 00:00:00,1.95,0,12,31.04,7.76,7.76,1.92
