time,FLOW,SALT,TEMP,OGM_don,NIT_nit,NIT_amm,PHS_frp
2013-01-30 00:00:00,1.93,0,1.7,22.61,5.65,5.65,1
2013-01-31 00:00:00,1.93,0,7.1,45.49,11.37,11.37,1.06
2013-02-01 00:00:00,1.93,0,1,34.18,8.54,8.54,1.3
2013-02-02 00:00:00,1.93,0,1,21.27,5.32,5.32,0.86
2013-02-03 00:00:00,1.93,0,1,30.84,7.71,7.71,1.42
2013-02-04 00:00:00,1.93,0,1,11.22,2.8,2.8,0.92
2013-02-05 00:00:00,1.93,0,1,22.23,5.56,5.56,0.86
2013-02-06 00:00:00,1.93,0,1,26.17,6.54,6.54,1.08
2013-02-07 00:00:00,1.93,0,1,39.27,9.82,9.82,1.02
2013-02-08 00:00:00,1.93,0,1,31.99,8,8,0.9
2013-02-09 00:00:00,15.38,0,0.6,23.34,5.84,5.84,1.04
2013-02-10 00:00:00,1.95,0,1,24.76,6.19,6.19,0.98
2013-02-11 00:00:00,1.95,0,1,31.54,7.89,7.89,1.2
2013-02-12 00:00:00,1.95,0,1.6,23.07,5.77,5.77,0.84
2013-02-13 00:00:00,1.95,0,1,44.07,11.02,11.02,1.36
2013-02-14 00:00:00,1.93,0,1,36.58,9.14,9.14,1.06
2013-02-15 00:00:00,1.93,0,1,17.78,4.44,4.44,0.82
2013-02-16 00:00:00,1.93,0,2,32.79,8.2,8.2,1
2013-02-17 00:00:00,1.93,0,1,24.18,6.05,6.05,0.98
2013-02-18 00:00:00,1.93,0,1,26.32,6.58,6.58,0.7
2013-02-19 00:00:00,1.93,0,1,26.3,6.57,6.57,0.96
2013-02-20 00:00:00,1.93,0,1.7,31.71,7.93,7.93,1.14
2013-02-21 00:00:00,1.93,0,1,27.13,6.78,6.78,0.8
2013-02-22 00:00:00,1.93,0,1,32.26,8.06,8.06,0.86
2013-02-23 00:00:00,1.93,0,1,30.44,7.61,7.61,0.98
2013-02-24 00:00:00,1.93,0,1.1,22.09,5.52,5.52,1.22
2013-02-25 00:00:00,1.93,0,1,22.09,5.52,5.52,0.88
2013-02-26 00:00:00,1.93,0,1.2,26.37,6.59,6.59,0.76
2013-02-27 00:00:00,1.93,0,1.7,25.21,6.3,6.3,0.8
2013-02-28 00:00:00,1.93,0,2.3,42.16,10.54,10.54,1.08
2013-03-01 00:00:00,1.93,0,2.3,16.71,4.18,4.18,1.12
2013-03-02 00:00:00,1.93,0,1.2,28,7,7,1.16
2013-03-03 00:00:00,1.93,0,1,30.65,7.66,7.66,0.96
2013-03-04 00:00:00,1.93,0,1,32.05,8.01,8.01,0.8
2013-03-05 00:00:00,1.93,0,1,39.19,9.8,9.8,1.36
2013-03-06 00:00:00,1.93,0,1.5,19.84,4.96,4.96,0.8
2013-03-07 00:00:00,1.93,0,1,28.33,7.08,7.08,1.06
2013-03-08 00:00:00,1.93,0,1.2,22.7,5.68,5.68,0.94
2013-03-09 00:00:00,1.93,0,1,29.27,7.32,7.32,0.94
2013-03-10 00:00:00,1.93,0,1.1,29.88,7.47,7.47,0.88
2013-03-11 00:00:00,1.93,0,2.6,34.01,8.5,8.5,1.14
2013-03-12 00:00:00,1.93,0,5,25.5,6.38,6.38,0.86
2013-03-13 00:00:00,1.93,0,7.4,25.52,6.38,6.38,0.94
2013-03-14 00:00:00,1.93,0,2.7,23.98,6,6,1.02
2013-03-15 00:00:00,1.93,0,1,37.41,9.35,9.35,1.12
2013-03-16 00:00:00,1.93,0,1,13.75,3.44,3.44,0.66
2013-03-17 00:00:00,19.29,0,0.6,55.66,13.92,13.92,1.18
2013-03-18 00:00:00,1.95,0,1,25.36,6.34,6.34,1
2013-03-19 00:00:00,1.95,0,1,27.16,6.79,6.79,0.84
2013-03-20 00:00:00,1.95,0,1,22,5.5,5.5,1.36
2013-03-21 00:00:00,1.95,0,1,30.53,7.63,7.63,0.94
2013-03-22 00:00:00,1.95,0,1,39.36,9.84,9.84,0.98
2013-03-23 00:00:00,1.95,0,1,33.7,8.42,8.42,0.92
2013-03-24 00:00:00,1.93,0,1.1,22.34,5.58,5.58,0.88
2013-03-25 00:00:00,1.93,0,1.6,49.91,12.48,12.48,1.14
2013-03-26 00:00:00,1.93,0,2.5,32.11,8.03,8.03,0.86
2013-03-27 00:00:00,1.93,0,1.2,42.43,10.61,10.61,1.24
2013-03-28 00:00:00,1.93,0,3.1,30.07,7.52,7.52,1
2013-03-29 00:00:00,1.93,0,4,25.84,6.46,6.46,0.9
2013-03-30 00:00:00,1.93,0,4.3,26.23,6.56,6.56,1.38
2013-03-31 00:00:00,1.93,0,5.4,30.74,7.69,7.69,0.84
2013-04-01 00:00:00,1.93,0,7.5,16.34,4.08,4.08,0.62
2013-04-02 00:00:00,18.95,0,2.2,55.18,13.79,13.79,1.3
2013-04-03 00:00:00,1.95,0,1,37.74,9.44,9.44,0.94
2013-04-04 00:00:00,1.95,0,1,19.47,4.87,4.87,0.94
2013-04-05 00:00:00,1.95,0,4.3,38.5,9.62,9.62,1.04
2013-04-06 00:00:00,1.95,0,2.6,27.53,6.88,6.88,1.14
2013-04-07 00:00:00,1.95,0,1.8,27.74,6.93,6.93,0.98
