time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2013-01-30 00:00:00,0,273.53,4.57,95.24,6.23,0,0
2013-01-30 01:00:00,0,273.53,4.36,95.53,6.47,0.002,0
2013-01-30 02:00:00,0,273.53,4.14,95.89,6.72,0.003,0
2013-01-30 03:00:00,0,317.29,3.93,96.18,6.96,0,0
2013-01-30 04:00:00,0,317.29,4.35,96.29,6.91,0.003,0
2013-01-30 05:00:00,0,317.3,4.76,96.38,6.87,0.006,0
2013-01-30 06:00:00,0,326.91,5.18,96.33,6.85,0.01,0
2013-01-30 07:00:00,0,326.91,5.51,96.31,6.48,0.017,0
2013-01-30 08:00:00,0,326.92,5.84,96.23,6.11,0.015,0
2013-01-30 09:00:00,0,310.5,6.16,96.17,5.75,0,0
2013-01-30 10:00:00,0,310.51,6.35,96.02,5.96,0,0
2013-01-30 11:00:00,0,310.51,6.53,95.94,6.19,0,0
2013-01-30 12:00:00,0,296.2,6.71,95.84,6.44,0,0
2013-01-30 13:00:00,79.7,296.2,7.24,94.37,6.57,0,0
2013-01-30 14:00:00,166.72,296.21,7.76,92.96,6.73,0,0
2013-01-30 15:00:00,253.95,301.18,8.28,91.54,6.93,0,0
2013-01-30 16:00:00,311.21,301.19,9.04,90.04,7.36,0,0
2013-01-30 17:00:00,344.76,301.19,9.79,88.53,7.8,0,0
2013-01-30 18:00:00,267.81,329.77,10.54,86.96,8.24,0,0
2013-01-30 19:00:00,220.64,329.78,10.97,87.21,7.97,0,0
2013-01-30 20:00:00,158.71,329.79,11.4,87.37,7.71,0,0
2013-01-30 21:00:00,71.37,324.57,11.83,87.45,7.48,0.014,0
2013-01-30 22:00:00,0,324.57,11.92,88.13,7.21,0,0
2013-01-30 23:00:00,0,324.57,12,88.85,6.99,0.005,0
2013-01-31 00:00:00,0,350.77,12.08,89.55,6.82,0.008,0
2013-01-31 01:00:00,0,350.77,11.75,90.51,6.09,0.006,0
2013-01-31 02:00:00,0,350.76,11.42,91.46,5.44,0,0
2013-01-31 03:00:00,0,348.1,11.09,92.42,4.89,0,0
2013-01-31 04:00:00,0,348.1,11.29,91.97,5.37,0,0
2013-01-31 05:00:00,0,348.1,11.49,91.51,5.87,0.004,0
2013-01-31 06:00:00,0,346.89,11.69,91.05,6.42,0.054,0
2013-01-31 07:00:00,0,346.89,11.79,90.81,7,0.06,0
2013-01-31 08:00:00,0,346.89,11.9,90.52,7.6,0.051,0
2013-01-31 09:00:00,0,343.06,12.01,90.21,8.22,0.026,0
2013-01-31 10:00:00,0,343.06,12.42,90.03,8.08,0.094,0
2013-01-31 11:00:00,0,343.07,12.83,89.78,8.18,0.197,0
2013-01-31 12:00:00,0,340.49,13.23,89.54,8.53,0.068,0
2013-01-31 13:00:00,34.76,340.48,12.99,87.22,7.81,0.026,0
2013-01-31 14:00:00,71.91,340.48,12.74,84.85,9.3,0.01,0
2013-01-31 15:00:00,175.99,292.34,12.49,82.37,12.23,0.004,0
2013-01-31 16:00:00,215.47,292.32,10.9,80.01,11.97,0,0
2013-01-31 17:00:00,238.68,292.3,9.3,76.09,11.71,0,0
2013-01-31 18:00:00,273.9,267.22,7.7,70.16,11.46,0,0
2013-01-31 19:00:00,226.04,267.21,6.97,70.33,11.04,0,0
2013-01-31 20:00:00,163.27,267.2,6.24,70.33,10.61,0,0
2013-01-31 21:00:00,80.97,242.77,5.51,70.12,10.18,0,0
2013-01-31 22:00:00,0,242.77,4.84,69.46,10.26,0,0
2013-01-31 23:00:00,0,242.76,4.16,68.62,10.33,0,0
2013-02-01 00:00:00,0,253.63,3.49,67.47,10.41,0.001,0
2013-02-01 01:00:00,0,253.62,3.06,65.57,10.49,0,0
2013-02-01 02:00:00,0,253.61,2.63,63.48,10.57,0,0
2013-02-01 03:00:00,0,225.48,2.19,61.2,10.64,0,0
2013-02-01 04:00:00,0,225.48,1.88,60.68,10.52,0,0
2013-02-01 05:00:00,0,225.47,1.57,60.1,10.4,0,0
2013-02-01 06:00:00,0,208.69,1.26,59.47,10.29,0,0
2013-02-01 07:00:00,0,208.7,1.38,59.12,9.63,0,0
2013-02-01 08:00:00,0,208.7,1.49,58.82,8.98,0,0
2013-02-01 09:00:00,0,223.08,1.61,58.47,8.33,0.001,0
2013-02-01 10:00:00,0,223.08,1.46,57.98,8.04,0,0
2013-02-01 11:00:00,0,223.08,1.31,57.46,7.78,0,0
2013-02-01 12:00:00,0,219.84,1.16,56.93,7.53,0,0
2013-02-01 13:00:00,76.64,219.84,0.94,54.52,7.64,0,0
2013-02-01 14:00:00,156.77,219.84,0.72,52.01,7.84,0,0
2013-02-01 15:00:00,170.26,242.45,0.51,49.36,8.13,0,0
2013-02-01 16:00:00,212.42,242.45,0.01,49.04,8.22,0,0
2013-02-01 17:00:00,223.12,242.44,-0.49,48.64,8.32,0,0
2013-02-01 18:00:00,329.44,219.61,-0.99,48.13,8.42,0,0
2013-02-01 19:00:00,271.22,219.61,-1.16,47.26,8.34,0,0
2013-02-01 20:00:00,188.07,219.61,-1.33,46.36,8.29,0,0
2013-02-01 21:00:00,63.61,211.29,-1.5,45.41,8.26,0,0
2013-02-01 22:00:00,0,211.29,-1.96,46.23,8.2,0,0
2013-02-01 23:00:00,0,211.28,-2.42,47.05,8.15,0,0
2013-02-02 00:00:00,0,225.99,-2.88,47.88,8.11,0,0
2013-02-02 01:00:00,0,225.99,-3.17,51.97,7.7,0,0
2013-02-02 02:00:00,0,225.99,-3.46,56.24,7.32,0,0
2013-02-02 03:00:00,0,232.56,-3.75,60.68,6.93,0,0
2013-02-02 04:00:00,0,232.56,-4.12,61.09,7.2,0,0
2013-02-02 05:00:00,0,232.56,-4.49,61.48,7.46,0,0
2013-02-02 06:00:00,0,187.62,-4.85,61.79,7.74,0,0
2013-02-02 07:00:00,0,187.62,-5.02,64.34,6.81,0,0
2013-02-02 08:00:00,0,187.62,-5.18,66.9,5.89,0,0
2013-02-02 09:00:00,0,168.36,-5.34,69.51,4.99,0,0
2013-02-02 10:00:00,0,168.36,-5.63,72.47,4.19,0,0
2013-02-02 11:00:00,0,168.36,-5.92,75.54,3.4,0,0
2013-02-02 12:00:00,0,202.99,-6.21,78.71,2.63,0,0
2013-02-02 13:00:00,96.07,203,-5.34,75.58,1.89,0,0
2013-02-02 14:00:00,194.34,203.01,-4.46,72.48,1.83,0,0
2013-02-02 15:00:00,261.11,236.35,-3.59,69.56,2.51,0,0
2013-02-02 16:00:00,325.45,236.36,-2.66,67.49,3.34,0,0
2013-02-02 17:00:00,341.8,236.37,-1.73,65.39,4.2,0,0
2013-02-02 18:00:00,371.56,236.45,-0.8,63.3,5.09,0,0
2013-02-02 19:00:00,306.4,236.45,-0.1,60.74,5.5,0,0
2013-02-02 20:00:00,213.31,236.46,0.6,58.3,5.91,0,0
2013-02-02 21:00:00,85.55,264.45,1.31,55.92,6.32,0,0
2013-02-02 22:00:00,0,264.45,1.09,58.94,5.39,0,0
2013-02-02 23:00:00,0,264.45,0.87,62.04,4.55,0,0
2013-02-03 00:00:00,0,261.61,0.66,65.19,3.86,0,0
