time,FLOW
2013-01-30 00:00:00,2.08
2013-01-31 00:00:00,6.58
2013-02-01 00:00:00,1.65
2013-02-02 00:00:00,1.63
2013-02-03 00:00:00,1.63
2013-02-04 00:00:00,1.63
2013-02-05 00:00:00,1.63
2013-02-06 00:00:00,1.63
2013-02-07 00:00:00,1.63
2013-02-08 00:00:00,1.75
2013-02-09 00:00:00,0
2013-02-10 00:00:00,1.74
2013-02-11 00:00:00,2.31
2013-02-12 00:00:00,1.8
2013-02-13 00:00:00,1.65
2013-02-14 00:00:00,20.63
2013-02-15 00:00:00,1.63
2013-02-16 00:00:00,1.65
2013-02-17 00:00:00,1.63
2013-02-18 00:00:00,1.63
2013-02-19 00:00:00,1.63
2013-02-20 00:00:00,2.32
2013-02-21 00:00:00,1.63
2013-02-22 00:00:00,1.63
2013-02-23 00:00:00,1.63
2013-02-24 00:00:00,3.14
2013-02-25 00:00:00,2.71
2013-02-26 00:00:00,1.63
2013-02-27 00:00:00,4.23
2013-02-28 00:00:00,3.71
2013-03-01 00:00:00,1.64
2013-03-02 00:00:00,1.63
2013-03-03 00:00:00,1.63
2013-03-04 00:00:00,1.63
2013-03-05 00:00:00,1.63
2013-03-06 00:00:00,1.65
2013-03-07 00:00:00,1.67
2013-03-08 00:00:00,2.95
2013-03-09 00:00:00,1.64
2013-03-10 00:00:00,1.63
2013-03-11 00:00:00,1.63
2013-03-12 00:00:00,2.39
2013-03-13 00:00:00,4.54
2013-03-14 00:00:00,1.63
2013-03-15 00:00:00,1.63
2013-03-16 00:00:00,1.67
2013-03-17 00:00:00,0
2013-03-18 00:00:00,1.65
2013-03-19 00:00:00,3.39
2013-03-20 00:00:00,3.16
2013-03-21 00:00:00,1.65
2013-03-22 00:00:00,1.65
2013-03-23 00:00:00,1.65
2013-03-24 00:00:00,20.63
2013-03-25 00:00:00,1.63
2013-03-26 00:00:00,1.63
2013-03-27 00:00:00,1.63
2013-03-28 00:00:00,1.63
2013-03-29 00:00:00,1.64
2013-03-30 00:00:00,1.63
2013-03-31 00:00:00,1.63
2013-04-01 00:00:00,3.84
2013-04-02 00:00:00,0
2013-04-03 00:00:00,1.65
2013-04-04 00:00:00,1.65
2013-04-05 00:00:00,1.65
2013-04-06 00:00:00,1.65
2013-04-07 00:00:00,1.65
2013-04-08 00:00:00,1.65
2013-04-09 00:00:00,3.06
2013-04-10 00:00:00,3.63
2013-04-11 00:00:00,0
2013-04-12 00:00:00,3.06
2013-04-13 00:00:00,0
2013-04-14 00:00:00,1.69
2013-04-15 00:00:00,1.68
2013-04-16 00:00:00,1.68
2013-04-17 00:00:00,1.99
2013-04-18 00:00:00,1.68
2013-04-19 00:00:00,0
2013-04-20 00:00:00,3.61
2013-04-21 00:00:00,1.69
2013-04-22 00:00:00,1.69
2013-04-23 00:00:00,1.69
2013-04-24 00:00:00,1.76
2013-04-25 00:00:00,1.69
2013-04-26 00:00:00,1.69
2013-04-27 00:00:00,1.69
2013-04-28 00:00:00,1.69
2013-04-29 00:00:00,1.69
2013-04-30 00:00:00,1.69
2013-05-01 00:00:00,1.69
2013-05-02 00:00:00,1.69
2013-05-03 00:00:00,1.69
2013-05-04 00:00:00,1.69
2013-05-05 00:00:00,21.1
2013-05-06 00:00:00,1.68
2013-05-07 00:00:00,1.68
2013-05-08 00:00:00,1.68
2013-05-09 00:00:00,0
2013-05-10 00:00:00,3.27
2013-05-11 00:00:00,2.25
2013-05-12 00:00:00,3.36
2013-05-13 00:00:00,21.1
2013-05-14 00:00:00,1.68
2013-05-15 00:00:00,1.68
2013-05-16 00:00:00,2.44
2013-05-17 00:00:00,1.68
2013-05-18 00:00:00,1.68
2013-05-19 00:00:00,1.68
2013-05-20 00:00:00,2.62
2013-05-21 00:00:00,1.71
2013-05-22 00:00:00,0
2013-05-23 00:00:00,3.03
2013-05-24 00:00:00,3.64
2013-05-25 00:00:00,4.92
2013-05-26 00:00:00,0
2013-05-27 00:00:00,1.71
2013-05-28 00:00:00,1.71
2013-05-29 00:00:00,2.81
2013-05-30 00:00:00,2.4
2013-05-31 00:00:00,1.71
2013-06-01 00:00:00,1.71
2013-06-02 00:00:00,1.71
2013-06-03 00:00:00,5.21
2013-06-04 00:00:00,1.71
2013-06-05 00:00:00,21.13
2013-06-06 00:00:00,1.69
2013-06-07 00:00:00,3.83
2013-06-08 00:00:00,8.21
2013-06-09 00:00:00,1.97
2013-06-10 00:00:00,1.69
2013-06-11 00:00:00,0
2013-06-12 00:00:00,6.9
2013-06-13 00:00:00,1.71
2013-06-14 00:00:00,3.14
2013-06-15 00:00:00,1.71
2013-06-16 00:00:00,1.71
2013-06-17 00:00:00,1.71
2013-06-18 00:00:00,3.71
2013-06-19 00:00:00,21.16
2013-06-20 00:00:00,1.69
2013-06-21 00:00:00,1.69
2013-06-22 00:00:00,1.69
2013-06-23 00:00:00,2.25
2013-06-24 00:00:00,2.85
2013-06-25 00:00:00,1.72
2013-06-26 00:00:00,3.67
2013-06-27 00:00:00,4.9
2013-06-28 00:00:00,0
2013-06-29 00:00:00,6.11
2013-06-30 00:00:00,0
2013-07-01 00:00:00,2.12
2013-07-02 00:00:00,3.96
2013-07-03 00:00:00,11.83
2013-07-04 00:00:00,21.18
2013-07-05 00:00:00,2.39
2013-07-06 00:00:00,1.73
2013-07-07 00:00:00,1.76
2013-07-08 00:00:00,22.04
2013-07-09 00:00:00,2.8
2013-07-10 00:00:00,1.87
2013-07-11 00:00:00,3.96
2013-07-12 00:00:00,1.69
2013-07-13 00:00:00,1.69
2013-07-14 00:00:00,1.7
2013-07-15 00:00:00,1.69
2013-07-16 00:00:00,1.69
2013-07-17 00:00:00,1.69
2013-07-18 00:00:00,1.78
2013-07-19 00:00:00,3.95
2013-07-20 00:00:00,2.03
2013-07-21 00:00:00,1.86
2013-07-22 00:00:00,2.61
2013-07-23 00:00:00,8.14
2013-07-24 00:00:00,0
2013-07-25 00:00:00,1.71
2013-07-26 00:00:00,2.02
2013-07-27 00:00:00,21.13
2013-07-28 00:00:00,1.7
2013-07-29 00:00:00,2.25
2013-07-30 00:00:00,1.79
2013-07-31 00:00:00,1.69
2013-08-01 00:00:00,1.69
2013-08-02 00:00:00,3.15
2013-08-03 00:00:00,21.33
2013-08-04 00:00:00,1.68
2013-08-05 00:00:00,1.71
2013-08-06 00:00:00,1.68
2013-08-07 00:00:00,1.68
2013-08-08 00:00:00,1.68
2013-08-09 00:00:00,4.91
2013-08-10 00:00:00,1.73
2013-08-11 00:00:00,1.68
2013-08-12 00:00:00,1.68
2013-08-13 00:00:00,6.04
2013-08-14 00:00:00,1.71
2013-08-15 00:00:00,20.97
2013-08-16 00:00:00,1.66
2013-08-17 00:00:00,1.66
2013-08-18 00:00:00,1.66
2013-08-19 00:00:00,1.67
2013-08-20 00:00:00,1.66
2013-08-21 00:00:00,1.66
2013-08-22 00:00:00,1.66
2013-08-23 00:00:00,1.94
2013-08-24 00:00:00,1.66
2013-08-25 00:00:00,1.66
2013-08-26 00:00:00,2.28
2013-08-27 00:00:00,1.66
2013-08-28 00:00:00,1.76
2013-08-29 00:00:00,7.09
2013-08-30 00:00:00,1.66
2013-08-31 00:00:00,1.8
2013-09-01 00:00:00,2.61
2013-09-02 00:00:00,8.01
2013-09-03 00:00:00,2.69
2013-09-04 00:00:00,1.66
2013-09-05 00:00:00,1.67
2013-09-06 00:00:00,1.66
2013-09-07 00:00:00,1.66
2013-09-08 00:00:00,1.77
2013-09-09 00:00:00,20.8
2013-09-10 00:00:00,2.39
2013-09-11 00:00:00,1.65
2013-09-12 00:00:00,3.05
2013-09-13 00:00:00,0
2013-09-14 00:00:00,1.68
2013-09-15 00:00:00,20.8
2013-09-16 00:00:00,2.02
2013-09-17 00:00:00,1.65
2013-09-18 00:00:00,1.65
2013-09-19 00:00:00,1.65
2013-09-20 00:00:00,1.65
