lake_name,year,ice_off_doy
LAKE BAIKAL,1868,121
LAKE BAIKAL,1869,127
LAKE BAIKAL,1870,120
LAKE BAIKAL,1871,127
LAKE BAIKAL,1872,133
LAKE BAIKAL,1873,116
LAKE BAIKAL,1874,119
LAKE BAIKAL,1875,134
LAKE BAIKAL,1876,154
LAKE BAIKAL,1877,127
LAKE BAIKAL,1878,157
LAKE BAIKAL,1879,132
LAKE BAIKAL,1880,117
LAKE BAIKAL,1881,117
LAKE BAIKAL,1882,139
LAKE BAIKAL,1883,122
LAKE BAIKAL,1884,123
LAKE BAIKAL,1885,102
LAKE BAIKAL,1886,104
LAKE BAIKAL,1887,115
LAKE BAIKAL,1888,133
LAKE BAIKAL,1889,116
LAKE BAIKAL,1890,134
LAKE BAIKAL,1891,120
LAKE BAIKAL,1892,122
LAKE BAIKAL,1893,109
LAKE BAIKAL,1894,110
LAKE BAIKAL,1895,118
LAKE BAIKAL,1896,128
LAKE BAIKAL,1897,120
LAKE BAIKAL,1898,85
LAKE BAIKAL,1899,127
LAKE BAIKAL,1900,117
LAKE BAIKAL,1901,121
LAKE BAIKAL,1902,118
LAKE BAIKAL,1903,127
LAKE BAIKAL,1904,96
LAKE BAIKAL,1905,116
LAKE BAIKAL,1906,101
LAKE BAIKAL,1907,119
LAKE BAIKAL,1908,122
LAKE BAIKAL,1909,125
LAKE BAIKAL,1910,134
LAKE BAIKAL,1911,120
LAKE BAIKAL,1912,126
LAKE BAIKAL,1913,100
LAKE BAIKAL,1914,110
LAKE BAIKAL,1915,104
LAKE BAIKAL,1916,121
LAKE BAIKAL,1917,119
LAKE BAIKAL,1918,113
LAKE BAIKAL,1919,114
LAKE BAIKAL,1920,122
LAKE BAIKAL,1921,114
LAKE BAIKAL,1922,103
LAKE BAIKAL,1923,126
LAKE BAIKAL,1924,109
LAKE BAIKAL,1925,90
LAKE BAIKAL,1926,112
LAKE BAIKAL,1927,115
LAKE BAIKAL,1928,119
LAKE BAIKAL,1929,137
LAKE BAIKAL,1930,123
LAKE BAIKAL,1931,79
LAKE BAIKAL,1932,93
LAKE BAIKAL,1933,103
LAKE BAIKAL,1934,104
LAKE BAIKAL,1935,130
LAKE BAIKAL,1936,111
LAKE BAIKAL,1937,115
LAKE BAIKAL,1938,113
LAKE BAIKAL,1939,102
LAKE BAIKAL,1940,105
LAKE BAIKAL,1941,108
LAKE BAIKAL,1942,99
LAKE BAIKAL,1943,115
LAKE BAIKAL,1944,122
LAKE BAIKAL,1945,106
LAKE BAIKAL,1946,118
LAKE BAIKAL,1947,138
LAKE BAIKAL,1948,91
LAKE BAIKAL,1949,130
LAKE BAIKAL,1950,123
LAKE BAIKAL,1951,93
LAKE BAIKAL,1952,121
LAKE BAIKAL,1953,108
LAKE BAIKAL,1954,123
LAKE BAIKAL,1955,114
LAKE BAIKAL,1956,121
LAKE BAIKAL,1957,108
LAKE BAIKAL,1958,72
LAKE BAIKAL,1959,121
LAKE BAIKAL,1960,89
LAKE BAIKAL,1961,101
LAKE BAIKAL,1962,105
LAKE BAIKAL,1963,99
LAKE BAIKAL,1964,101
LAKE BAIKAL,1965,114
LAKE BAIKAL,1966,124
LAKE BAIKAL,1967,114
LAKE BAIKAL,1968,125
LAKE BAIKAL,1969,126
LAKE BAIKAL,1970,122
LAKE BAIKAL,1971,107
LAKE BAIKAL,1972,116
LAKE BAIKAL,1973,102
LAKE BAIKAL,1974,134
LAKE BAIKAL,1975,104
LAKE BAIKAL,1976,123
LAKE BAIKAL,1977,88
LAKE BAIKAL,1978,101
LAKE BAIKAL,1979,120
LAKE BAIKAL,1980,96
LAKE BAIKAL,1981,107
LAKE BAIKAL,1982,95
LAKE BAIKAL,1983,96
LAKE BAIKAL,1984,117
LAKE BAIKAL,1985,118
LAKE BAIKAL,1986,97
LAKE BAIKAL,1987,108
LAKE BAIKAL,1988,83
LAKE BAIKAL,1989,93
LAKE BAIKAL,1990,92
LAKE BAIKAL,1991,134
LAKE BAIKAL,1992,97
LAKE BAIKAL,1993,101
LAKE BAIKAL,1994,78
LAKE BAIKAL,1995,103
LAKE BAIKAL,1996,95
LAKE BAIKAL,1997,107
LAKE BAIKAL,1998,102
LAKE BAIKAL,1999,107
LAKE BAIKAL,2000,127
LAKE BAIKAL,2001,85
LAKE BAIKAL,2002,95
LAKE BAIKAL,2003,95
LAKE BAIKAL,2004,126
LAKE BAIKAL,2005,109
Cazenovia Lake,1839,100
Cazenovia Lake,1840,99
Cazenovia Lake,1841,
Cazenovia Lake,1842,80
Cazenovia Lake,1843,116
Cazenovia Lake,1844,103
Cazenovia Lake,1845,90
Cazenovia Lake,1846,98
