GENUS,SPECIES,B0,B1
Picea,abies,-2.0773,2.3323
Schefflera,actinophylla,-2.48,2.4835
Magnolia,acuminata,-2.48,2.4835
Sophora,affinis,-2.48,2.4835
Quercus,agrifolia,-2.0127,2.4342
Ulmus,alata,-2.48,2.4835
Carya,alba,-2.0127,2.4342
Morus,alba,-2.48,2.4835
Populus,alba,-2.2094,2.3867
Quercus,alba,-2.0127,2.4342
Salix,alba,-2.2094,2.3867
Pinus,albicaulis,-2.5356,2.4349
Sassafras,albidum,-2.48,2.4835
Betula,alleghaniensis,-1.9123,2.3651
Prunus,alleghaniensis,-2.48,2.4835
Ailanthus,altissima,-2.48,2.4835
Abies,amabilis,-2.5384,2.4814
Fraxinus,americana,-2.48,2.4835
Persea,americana,-2.48,2.4835
Prunus,americana,-2.48,2.4835
Sorbus,americana,-2.48,2.4835
Tilia,americana,-2.48,2.4835
Tilia,americana,-2.48,2.4835
Tilia,americana,-2.48,2.4835
Ulmus,americana,-2.48,2.4835
Salix,amygdaloides,-2.2094,2.3867
Cupaniopsis,anacardioides,-2.48,2.4835
Ehretia,anacua,-0.7152,1.7029
Elaeagnus,angustifolia,-2.48,2.4835
Malus,angustifolia,-2.48,2.4835
Populus,angustifolia,-2.2094,2.3867
Prunus,angustifolia,-2.48,2.4835
Carya,aquatica,-2.0127,2.4342
Gleditsia,aquatica,-2.48,2.4835
Nyssa,aquatica,-2.48,2.4835
Planera,aquatica,-2.48,2.4835
Amelanchier,arborea,-2.48,2.4835
Oxydendrum,arboreum,-2.48,2.4835
Coccothrinax,argentata,-2.48,2.4835
Pinus,aristata,-2.5356,2.4349
Arbutus,arizonica,-2.48,2.4835
Cupressus,arizonica,-2.0336,2.2592
Pinus,arizonica,-2.5356,2.4349
Quercus,arizonica,-0.7152,1.7029
Taxodium,ascendens,-2.0336,2.2592
Juniperus,ashei,-0.7152,1.7029
Pinus,attenuata,-2.5356,2.4349
Sorbus,aucuparia,-2.48,2.4835
Ficus,aurea,-2.48,2.4835
Prunus,avium,-2.48,2.4835
Melia,azedarach,-2.48,2.4835
Cupressus,bakeri,-2.0336,2.2592
Pinus,balfouriana,-2.5356,2.4349
Abies,balsamea,-2.5384,2.4814
Populus,balsamifera,-2.2094,2.3867
Populus,balsamifera,-2.2094,2.3867
Pinus,banksiana,-2.5356,2.4349
Acer,barbatum,-1.9123,2.3651
Salix,bebbiana,-2.2094,2.3867
Fraxinus,berlandieriana,-2.48,2.4835
Quercus,bicolor,-2.0127,2.4342
Nyssa,biflora,-2.48,2.4835
Catalpa,bignonioides,-2.48,2.4835
Ginkgo,biloba,-2.48,2.4835
Cordia,boissieri,-2.48,2.4835
Salix,bonplandiana,-2.2094,2.3867
Persea,borbonia,-2.48,2.4835
Abies,bracteata,-2.5384,2.4814
Crataegus,brainerdii,-2.48,2.4835
Taxus,brevifolia,-2.5384,2.4814
Yucca,brevifolia,-2.48,2.4835
Picea,breweriana,-2.0773,2.3323
Tree,broadleaf,-2.48,2.4835
Quercus,buckleyi,-2.0127,2.4342
Aesculus,californica,-2.48,2.4835
Juglans,californica,-2.48,2.4835
Juniperus,californica,-0.7152,1.7029
Torreya,californica,-2.5384,2.4814
Umbellularia,californica,-2.48,2.4835
Crataegus,calpodendron,-2.48,2.4835
Eucalyptus,camaldulensis,-2.48,2.4835
Cinnamomum,camphora,-2.48,2.4835
Cercis,canadensis,-2.48,2.4835
Tsuga,canadensis,-2.5384,2.4814
Halesia,carolina,-2.48,2.4835
Carya,carolinae-septentrionalis,-2.0127,2.4342
Carpinus,caroliniana,-2.48,2.4835
Fraxinus,caroliniana,-2.48,2.4835
Salix,caroliniana,-2.2094,2.3867
Tsuga,caroliniana,-2.5384,2.4814
Pinus,cembroides,-0.7152,1.7029
Prunus,cerasus,-2.48,2.4835
Crataegus,chrysocarpa,-2.48,2.4835
Quercus,chrysolepis,-2.0127,2.4342
Chrysolepis,chrysophylla,-2.48,2.4835
Juglans,cinerea,-2.48,2.4835
Ficus,citrifolia,-2.48,2.4835
Pinus,clausa,-2.5356,2.4349
Juniperus,coahuilensis,-0.7152,1.7029
Quercus,coccinea,-2.0127,2.4342
Abies,concolor,-2.5384,2.4814
Pinus,contorta,-2.5356,2.4349
Carya,cordiformis,-2.0127,2.4342
Malus,coronaria,-2.48,2.4835
Pinus,coulteri,-2.5356,2.4349
Ulmus,crassifolia,-2.48,2.4835
Crataegus,crus-galli,-2.48,2.4835
Syzygium,cumini,-2.48,2.4835
Sorbus,decora,-2.48,2.4835
Calocedrus,decurrens,-2.0336,2.2592
Populus,deltoides,-2.2094,2.3867
Populus,deltoides,-2.2094,2.3867
Lithocarpus,densiflorus,-2.48,2.4835
Castanea,dentata,-2.48,2.4835
Juniperus,deppeana,-0.7152,1.7029
Crataegus,dilatata,-2.48,2.4835
Gymnocladus,dioicus,-2.48,2.4835
Halesia,diptera,-2.48,2.4835
Guapira,discolor,-2.48,2.4835
Pinus,discolor,-0.7152,1.7029
Taxodium,distichum,-2.0336,2.2592
Coccoloba,diversifolia,-2.48,2.4835
Prunus,domestica,-2.48,2.4835
Quercus,douglasii,-2.0127,2.4342
Ebenopsis,ebano,-2.48,2.4835
Pinus,echinata,-2.5356,2.4349
Pinus,edulis,-0.7152,1.7029
Amyris,elemifera,-2.48,2.4835
Pinus,elliottii,-2.5356,2.4349
Pinus,elliottii,-2.5356,2.4349
Quercus,ellipsoidalis,-2.0127,2.4342
Colubrina,elliptica,-2.48,2.4835
Prunus,emarginata,-2.48,2.4835
Quercus,emoryi,-0.7152,1.7029
Picea,engelmannii,-2.0773,2.3323
Pinus,engelmannii,-2.5356,2.4349
Quercus,engelmannii,-2.0127,2.4342
Conocarpus,erectus,-2.48,2.4835
Tree,evergreen,-2.5356,2.4349
Quercus,falcata,-2.0127,2.4342
Acacia,farnesiana,-0.7152,1.7029
Crataegus,flabellata,-2.48,2.4835
Juniperus,flaccida,-0.7152,1.7029
Aesculus,flava,-2.48,2.4835
Pinus,flexilis,-2.5356,2.4349
Cornus,florida,-2.48,2.4835
Carya,floridana,-2.0127,2.4342
Taxus,floridana,-2.5384,2.4814
Sideroxylon,foetidissimum,-2.48,2.4835
Cupressus,forbesii,-2.0336,2.2592
Vernicia,fordii,-2.48,2.4835
Abies,fraseri,-2.5384,2.4814
Magnolia,fraseri,-2.48,2.4835
Populus,fremontii,-2.2094,2.3867
Citharexylum,fruticosum,-2.48,2.4835
Malus,fusca,-2.48,2.4835
Quercus,gambelii,-0.7152,1.7029
Quercus,garryana,-2.0127,2.4342
Avicennia,germinans,-2.48,2.4835
Sequoiadendron,giganteum,-2.0336,2.2592
Aesculus,glabra,-2.48,2.4835
Aesculus,glabra,-2.48,2.4835
Annona,glabra,-2.48,2.4835
Carya,glabra,-2.0127,2.4342
Pinus,glabra,-2.5356,2.4349
Acer,glabrum,-0.7152,1.7029
Prosopis,glandulosa,-0.7152,1.7029
Casuarina,glauca,-2.48,2.4835
Picea,glauca,-2.0773,2.3323
Simarouba,glauca,-2.48,2.4835
Eucalyptus,globulus,-2.48,2.4835
Alnus,glutinosa,-2.2094,2.3867
Quercus,graciliformis,-2.0127,2.4342
Populus,grandidentata,-2.2094,2.3867
Acer,grandidentatum,-0.7152,1.7029
Magnolia,grandiflora,-2.48,2.4835
Fagus,grandifolia,-2.0127,2.4342
Abies,grandis,-2.5384,2.4814
Eucalyptus,grandis,-2.48,2.4835
Quercus,gravesii,-2.0127,2.4342
Acacia,greggii,-0.7152,1.7029
Quercus,grisea,-0.7152,1.7029
Populus,heterophylla,-2.2094,2.3867
Tsuga,heterophylla,-2.5384,2.4814
Juglans,hindsii,-2.48,2.4835
Condalia,hookeri,-0.7152,1.7029
Quercus,hypoleucoides,-0.7152,1.7029
Quercus,ilicifolia,-2.0127,2.4342
Carya,illinoinensis,-2.0127,2.4342
Quercus,imbricaria,-2.0127,2.4342
Quercus,incana,-2.0127,2.4342
